"","Lote","Germinacion","Fin.Cosecha","Rendimiento","Stage_1","Stage_2","Temp_Max_Avg_VEG","Temp_Min_Avg_VEG","Temp_Avg_VEG","Diurnal_Range_Avg_VEG","Sol_Ener_Accu_VEG","Temp_Max_34_Freq_VEG","Rain_Accu_VEG","Rain_10_Freq_VEG","Temp_Min_15_Freq_VEG","Rhum_Avg_VEG","Rhum_sd_VEG","Temp_Max_Avg_REP","Temp_Min_Avg_REP","Temp_Avg_REP","Diurnal_Range_Avg_REP","Sol_Ener_Accu_REP","Temp_Max_34_Freq_REP","Rain_Accu_REP","Rain_10_Freq_REP","Temp_Min_15_Freq_REP","Rhum_Avg_REP","Rhum_sd_REP","Temp_Max_Avg_LLEN","Temp_Min_Avg_LLEN","Temp_Avg_LLEN","Diurnal_Range_Avg_LLEN","Sol_Ener_Accu_LLEN","Temp_Max_34_Freq_LLEN","Rain_Accu_LLEN","Rain_10_Freq_LLEN","Temp_Min_15_Freq_LLEN","Rhum_Avg_LLEN","Rhum_sd_LLEN"
"389",294,2015-07-14,2015-11-13,8403,2015-08-31,2015-10-12,34.7333333333333,24.7104166666667,29.721875,10.0229166666667,22819.6455502,0.729166666666667,119.9,0.0625,0,78.9225,5.81819724218217,33.8714285714286,23.7357142857143,28.8035714285714,10.1357142857143,20092.7127274,0.571428571428571,155.4,0.119047619047619,0,88.7619047619048,4.16543397328903,33.8969696969697,23.3181818181818,28.6075757575758,10.5787878787879,15943.2597133,0.484848484848485,201.6,0.212121212121212,0,90.1618181818182,3.12726463397473
"390",302,2015-07-14,2015-11-12,7950,2015-08-31,2015-10-12,34.7333333333333,24.7104166666667,29.721875,10.0229166666667,22819.6455502,0.729166666666667,119.9,0.0625,0,78.9225,5.81819724218217,33.8714285714286,23.7357142857143,28.8035714285714,10.1357142857143,20092.7127274,0.571428571428571,155.4,0.119047619047619,0,88.7619047619048,4.16543397328903,33.865625,23.278125,28.571875,10.5875,15502.4130147,0.46875,201.6,0.21875,0,90.423125,2.78734517868909
"391",307,2015-07-14,2015-11-09,4897,2015-08-30,2015-10-09,34.7,24.7446808510638,29.7223404255319,9.95531914893617,22325.9460287,0.723404255319149,105,0.0425531914893617,0,78.8053191489362,5.82356302524264,33.835,23.695,28.765,10.14,19209.9651676,0.55,166.7,0.15,0,88.72925,4.30211241344862,33.978125,23.325,28.6515625,10.653125,15705.2876557,0.53125,205.2,0.21875,0,90.51375,2.70411126655977
"392",309,2015-07-14,2015-11-14,3077,2015-09-01,2015-10-13,34.7224489795918,24.6816326530612,29.7020408163265,10.0408163265306,23257.6604784,0.73469387755102,142.4,0.0816326530612245,0,79.1248979591837,5.92903558854255,33.8619047619048,23.7380952380952,28.8,10.1238095238095,20128.492249,0.547619047619048,152.5,0.119047619047619,0,88.7807142857143,4.16757834160913,33.8939393939394,23.3757575757576,28.6348484848485,10.5181818181818,15823.6225841,0.484848484848485,182,0.181818181818182,0,89.9675757575758,3.35230334089771
"393",340,2015-07-14,2015-11-10,6555,2015-08-30,2015-10-10,34.7,24.7446808510638,29.7223404255319,9.95531914893617,22325.9460287,0.723404255319149,105,0.0425531914893617,0,78.8053191489362,5.82356302524264,33.8780487804878,23.709756097561,28.7939024390244,10.1682926829268,19645.5823925,0.560975609756098,169.6,0.146341463414634,0,88.7434146341463,4.24896376176362,33.921875,23.325,28.6234375,10.596875,15662.191005,0.5,202.3,0.21875,0,90.426875,2.78740535786101
"394",185,2015-07-15,2015-11-09,7782,2015-08-30,2015-10-10,34.7326086956522,24.7413043478261,29.7369565217391,9.99130434782609,21930.4076555,0.739130434782609,105,0.0434782608695652,0,78.8045652173913,5.88791142238692,33.8780487804878,23.709756097561,28.7939024390244,10.1682926829268,19645.5823925,0.560975609756098,169.6,0.146341463414634,0,88.7434146341463,4.24896376176362,33.9258064516129,23.2935483870968,28.6096774193548,10.6322580645161,15269.6704308,0.516129032258065,202.3,0.225806451612903,0,90.5525806451613,2.73972622445131
"395",196,2015-07-15,2015-11-09,4415,2015-08-30,2015-10-10,34.7326086956522,24.7413043478261,29.7369565217391,9.99130434782609,21930.4076555,0.739130434782609,105,0.0434782608695652,0,78.8045652173913,5.88791142238692,33.8780487804878,23.709756097561,28.7939024390244,10.1682926829268,19645.5823925,0.560975609756098,169.6,0.146341463414634,0,88.7434146341463,4.24896376176362,33.9258064516129,23.2935483870968,28.6096774193548,10.6322580645161,15269.6704308,0.516129032258065,202.3,0.225806451612903,0,90.5525806451613,2.73972622445131
"396",200,2015-07-15,2015-11-15,7883,2015-09-02,2015-10-14,34.7489795918367,24.6714285714286,29.7102040816327,10.0775510204082,23361.9192344,0.755102040816326,143.9,0.0816326530612245,0,79.3736734693878,6.16776556443443,33.8119047619048,23.6785714285714,28.7452380952381,10.1333333333333,20219.8116748,0.523809523809524,162.9,0.142857142857143,0,88.8535714285714,4.23407594746715,33.9757575757576,23.4242424242424,28.7,10.5515151515152,15644.3942588,0.515151515151515,170.3,0.151515151515152,0,89.5963636363636,3.55373818867349
"397",203,2015-07-15,2015-11-13,6055,2015-09-01,2015-10-13,34.7541666666667,24.6770833333333,29.715625,10.0770833333333,22862.1221052,0.75,142.4,0.0833333333333333,0,79.1308333333333,5.99163133873328,33.8619047619048,23.7380952380952,28.8,10.1238095238095,20128.492249,0.547619047619048,152.5,0.119047619047619,0,88.7807142857143,4.16757834160913,33.9,23.315625,28.6078125,10.584375,15469.4652635,0.5,182,0.1875,0,90.1784375,3.17582309308129
"398",216,2015-07-15,2015-11-15,5317,2015-09-02,2015-10-14,34.7489795918367,24.6714285714286,29.7102040816327,10.0775510204082,23361.9192344,0.755102040816326,143.9,0.0816326530612245,0,79.3736734693878,6.16776556443443,33.8119047619048,23.6785714285714,28.7452380952381,10.1333333333333,20219.8116748,0.523809523809524,162.9,0.142857142857143,0,88.8535714285714,4.23407594746715,33.9757575757576,23.4242424242424,28.7,10.5515151515152,15644.3942588,0.515151515151515,170.3,0.151515151515152,0,89.5963636363636,3.55373818867349
